"_id","_labels","id","title","_start","_end","_type"
"0",":Movie","1","Toy Story (1995)",,,
"1",":Movie","2","Jumanji (1995)",,,
"2",":Movie","3","Grumpier Old Men (1995)",,,
"3",":Movie","4","Waiting to Exhale (1995)",,,
"4",":Movie","5","Father of the Bride Part II (1995)",,,
"5",":Movie","6","Heat (1995)",,,
"6",":Movie","7","Sabrina (1995)",,,
"7",":Movie","8","Tom and Huck (1995)",,,
"8",":Movie","9","Sudden Death (1995)",,,
"9",":Movie","10","GoldenEye (1995)",,,
"10",":Movie","11","American President, The (1995)",,,
"11",":Movie","12","Dracula: Dead and Loving It (1995)",,,
"12",":Movie","13","Balto (1995)",,,
"13",":Movie","14","Nixon (1995)",,,
"14",":Movie","15","Cutthroat Island (1995)",,,
"15",":Movie","16","Casino (1995)",,,
"16",":Movie","17","Sense and Sensibility (1995)",,,
"17",":Movie","18","Four Rooms (1995)",,,
"18",":Movie","19","Ace Ventura: When Nature Calls (1995)",,,
"19",":Movie","20","Money Train (1995)",,,
"20",":Movie","21","Get Shorty (1995)",,,
"21",":Movie","22","Copycat (1995)",,,
"22",":Movie","23","Assassins (1995)",,,
"23",":Movie","24","Powder (1995)",,,
"24",":Movie","25","Leaving Las Vegas (1995)",,,
"25",":Movie","26","Othello (1995)",,,
"26",":Movie","27","Now and Then (1995)",,,
"27",":Movie","28","Persuasion (1995)",,,
"28",":Movie","29","City of Lost Children, The (Cité des enfants perdus, La) (1995)",,,
"29",":Movie","30","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",,,
"30",":Movie","31","Dangerous Minds (1995)",,,
"31",":Movie","32","Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",,,
"32",":Movie","33","Wings of Courage (1995)",,,
"33",":Movie","34","Babe (1995)",,,
"34",":Movie","35","Carrington (1995)",,,
"35",":Movie","36","Dead Man Walking (1995)",,,
"36",":Movie","37","Across the Sea of Time (1995)",,,
"37",":Movie","38","It Takes Two (1995)",,,
"38",":Movie","39","Clueless (1995)",,,
"39",":Movie","40","Cry, the Beloved Country (1995)",,,
"40",":Movie","41","Richard III (1995)",,,
"41",":Movie","42","Dead Presidents (1995)",,,
"42",":Movie","43","Restoration (1995)",,,
"43",":Movie","44","Mortal Kombat (1995)",,,
"44",":Movie","45","To Die For (1995)",,,
"45",":Movie","46","How to Make an American Quilt (1995)",,,
"46",":Movie","47","Seven (a.k.a. Se7en) (1995)",,,
"47",":Movie","48","Pocahontas (1995)",,,
"48",":Movie","49","When Night Is Falling (1995)",,,
"49",":Movie","50","Usual Suspects, The (1995)",,,
"50",":Movie","51","Guardian Angel (1994)",,,
"51",":Movie","52","Mighty Aphrodite (1995)",,,
"52",":Movie","53","Lamerica (1994)",,,
"53",":Movie","54","Big Green, The (1995)",,,
"54",":Movie","55","Georgia (1995)",,,
"55",":Movie","56","Kids of the Round Table (1995)",,,
"56",":Movie","57","Home for the Holidays (1995)",,,
"57",":Movie","58","Postman, The (Postino, Il) (1994)",,,
"58",":Movie","59","Confessional, The (Confessionnal, Le) (1995)",,,
"59",":Movie","60","Indian in the Cupboard, The (1995)",,,
"60",":Movie","61","Eye for an Eye (1996)",,,
"61",":Movie","62","Mr. Holland's Opus (1995)",,,
"62",":Movie","63","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",,,
"63",":Movie","64","Two if by Sea (1996)",,,
"64",":Movie","65","Bio-Dome (1996)",,,
"65",":Movie","66","Lawnmower Man 2: Beyond Cyberspace (1996)",,,
"66",":Movie","67","Two Bits (1995)",,,
"67",":Movie","68","French Twist (Gazon maudit) (1995)",,,
"68",":Movie","69","Friday (1995)",,,
"69",":Movie","70","From Dusk Till Dawn (1996)",,,
"70",":Movie","71","Fair Game (1995)",,,
"71",":Movie","72","Kicking and Screaming (1995)",,,
"72",":Movie","73","Misérables, Les (1995)",,,
"73",":Movie","74","Bed of Roses (1996)",,,
"74",":Movie","75","Big Bully (1996)",,,
"75",":Movie","76","Screamers (1995)",,,
"76",":Movie","77","Nico Icon (1995)",,,
"77",":Movie","78","Crossing Guard, The (1995)",,,
"78",":Movie","79","Juror, The (1996)",,,
"79",":Movie","80","White Balloon, The (Badkonake sefid) (1995)",,,
"80",":Movie","81","Things to Do in Denver When You're Dead (1995)",,,
"81",":Movie","82","Antonia's Line (Antonia) (1995)",,,
"82",":Movie","83","Once Upon a Time... When We Were Colored (1995)",,,
"83",":Movie","84","Last Summer in the Hamptons (1995)",,,
"84",":Movie","85","Angels and Insects (1995)",,,
"85",":Movie","86","White Squall (1996)",,,
"86",":Movie","87","Dunston Checks In (1996)",,,
"87",":Movie","88","Black Sheep (1996)",,,
"88",":Movie","89","Nick of Time (1995)",,,
"89",":Movie","90","The Journey of August King (1995)",,,
"90",":Movie","92","Mary Reilly (1996)",,,
"91",":Movie","93","Vampire in Brooklyn (1995)",,,
"92",":Movie","94","Beautiful Girls (1996)",,,
"93",":Movie","95","Broken Arrow (1996)",,,
"94",":Movie","96","In the Bleak Midwinter (1995)",,,
"95",":Movie","97","Hate (Haine, La) (1995)",,,
"96",":Movie","98","Shopping (1994)",,,
"97",":Movie","99","Heidi Fleiss: Hollywood Madam (1995)",,,
"98",":Movie","100","City Hall (1996)",,,
"99",":Movie","101","Bottle Rocket (1996)",,,
